wl,n
8.795438,0.001269
8.817868,0.000000
8.832892,0.000000
8.855521,0.000000
8.878267,0.001505
8.893498,0.003345
8.916439,0.005238
8.939498,0.006066
8.954941,0.007372
8.978200,0.003008
8.993768,0.002238
9.017230,0.003197
9.032942,0.003785
9.056609,0.000636
9.072459,0.000000
9.096334,0.000448
9.112315,0.000000
9.136400,0.000000
9.152531,0.000000
9.176829,0.001003
9.193103,0.001530
9.217618,0.000000
9.234028,0.000000
9.258762,0.000000
9.275328,0.000000
9.291953,0.000000
9.316999,0.000000
9.333765,0.000000
9.359037,0.000000
9.375964,0.002264
9.392952,0.003515
9.418546,0.002666
9.435680,0.002827
9.452886,0.002455
9.478808,0.001730
9.496171,0.000000
9.513589,0.000000
9.539855,0.000000
9.557433,0.000000
9.575086,0.000000
9.592805,0.000000
9.619501,0.000000
9.637375,0.000000
9.655324,0.000000
9.673341,0.000000
9.691416,0.001876
9.718664,0.000000
9.736918,0.000236
9.755241,0.001620
9.773623,0.004308
9.792085,0.002408
9.819903,0.001040
9.838540,0.004296
9.857238,0.004777
9.876016,0.000000
9.894867,0.000000
9.913780,0.000000
9.932775,0.000768
9.951843,0.000088
9.970974,0.000000
9.999820,0.000000
10.019150,0.002535
10.038550,0.004440
10.058010,0.007033
10.077570,0.005845
10.097200,0.001065
10.116890,0.000000
10.136670,0.000000
10.156530,0.000000
10.176460,0.000000
10.196480,0.000619
10.216570,0.000000
10.236730,0.000000
10.256990,0.000000
10.277320,0.002258
10.297730,0.007691
10.318220,0.007239
10.338800,0.005542
10.359450,0.005236
10.369820,0.005755
10.390590,0.005351
10.411460,0.005773
10.432410,0.005567
10.453440,0.002787
10.474560,0.001907
10.495770,0.001832
10.517060,0.003453
10.538430,0.002462
10.559900,0.000000
10.570660,0.000000
10.592260,0.000000
10.613940,0.002694
10.635710,0.001785
10.657570,0.000000
10.679530,0.000000
10.690530,0.000000
10.712630,0.000280
10.734800,0.001003
10.757070,0.004021
10.779440,0.001652
10.790650,0.000795
10.813160,0.004143
10.835750,0.007926
10.858450,0.008263
10.869830,0.009699
10.892660,0.008415
10.915600,0.004631
10.938620,0.000000
10.950180,0.000000
10.973350,0.000000
10.996620,0.002292
11.020000,0.003686
11.031720,0.003341
11.055250,0.002414
11.078860,0.004416
11.090720,0.003008
11.114480,0.000000
11.138360,0.002687
11.150340,0.004054
11.174370,0.006531
11.198510,0.008221
11.210610,0.010656
11.234910,0.009697
11.259300,0.008277
11.271540,0.007026
11.296090,0.003340
11.308420,0.002924
11.333130,0.002610
11.357960,0.005281
11.370410,0.004597
11.395400,0.000000
11.407930,0.000000
11.433090,0.000000
11.458360,0.002038
11.471030,0.004241
11.496470,0.005808
11.509230,0.003575
11.534840,0.004195
11.547680,0.002644
11.573460,0.001889
11.599350,0.006158
11.612340,0.004793
11.638410,0.002598
11.651480,0.006017
11.677730,0.008123
11.690890,0.005681
11.717310,0.007728
11.730560,0.007954
11.757170,0.002062
11.770510,0.002017
11.797290,0.003199
11.810730,0.001548
11.837700,0.004413
11.851220,0.006372
11.878370,0.004363
11.891990,0.002220
